property_id,suburb,postcode,address,bedrooms,bathrooms,parking_spaces,listed_area_m2,property_type,sale_date,sale_price_aud,source_website,source_listing_pages
1,Bondi,2026,"5601/34 Wellington Street, Bondi",2.0,2,1.0,,Apartment,2026-09-01,2600000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
2,Bondi,2026,"8B Castlefield Street, Bondi",3.0,2,1.0,,House,2026-08-25,2750000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
3,Bondi,2026,"6 Miller Street, Bondi",3.0,2,3.0,,House,2026-08-15,3500000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
4,Bondi,2026,"3/38 Flood Street, Bondi",2.0,1,,,Apartment,2026-08-06,1010000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
5,Bondi,2026,"7/162 Bondi Road, Bondi",1.0,1,,,Apartment,2026-08-06,650000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
6,Bondi,2026,"7/18-20 Penkivil Street, Bondi",3.0,2,1.0,,Apartment,2026-06-18,2350000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
7,Bondi,2026,"7/17 Ocean Street North, Bondi",1.0,1,,,Apartment,2026-06-18,946000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
8,Bondi,2026,"3 Flood Street, Bondi",4.0,2,1.0,392.0,House,2026-06-15,4001000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
9,Bondi,2026,"6/36-38 Penkivil Street, Bondi",3.0,2,1.0,,Apartment,2026-06-05,1735000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
10,Bondi,2026,"38 Philip Street, Bondi",3.0,2,,,House,2026-06-02,4260000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
11,Bondi,2026,"14 Anglesea Street, Bondi",6.0,4,1.0,415.0,House,2026-05-19,5416000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
